x,y,result,xg,assisting_player,big_chance,season,season,league,league,player
92.4,59.9,0,0.2863379418849945,0,True,2022,2022,ligue1,Ligue1,lionel messi
78.5,45.8,0,0.10218405723571777,0,False,2022,2022,ligue1,Ligue1,lionel messi
90.0,59.8,0,0.10276999324560165,nuno mendes,False,2022,2022,ligue1,Ligue1,lionel messi
91.3,53.1,1,0.371345192193985,neymar,True,2022,2022,ligue1,Ligue1,lionel messi
91.5,50.4,1,0.3950595557689667,leandro paredes,True,2022,2022,ligue1,Ligue1,lionel messi
87.4,67.4,0,0.15167894959449768,0,False,2022,2022,ligue1,Ligue1,lionel messi
76.8,52.7,0,0.028872843831777573,kylian mbappe,False,2022,2022,ligue1,Ligue1,lionel messi
91.8,38.2,0,0.08774583041667938,0,False,2022,2022,ligue1,Ligue1,lionel messi
87.4,53.6,0,0.07265207916498184,0,False,2022,2022,ligue1,Ligue1,lionel messi
76.8,45.8,0,0.12284457683563232,0,False,2022,2022,ligue1,Ligue1,lionel messi
86.8,56.7,0,0.11073458194732666,nuno mendes,False,2022,2022,ligue1,Ligue1,lionel messi
89.8,64.3,0,0.10794989764690399,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
89.1,57.6,1,0.09258116781711578,nuno mendes,False,2022,2022,ligue1,Ligue1,lionel messi
91.9,63.4,0,0.16647551953792572,kylian mbappe,True,2022,2022,ligue1,Ligue1,lionel messi
89.7,50.3,0,0.11492384970188141,0,False,2022,2022,ligue1,Ligue1,lionel messi
89.5,49.1,0,0.543315589427948,neymar,True,2022,2022,ligue1,Ligue1,lionel messi
92.9,49.6,0,0.42636290192604065,kylian mbappe,True,2022,2022,ligue1,Ligue1,lionel messi
84.0,63.9,0,0.08739941567182541,0,False,2022,2022,ligue1,Ligue1,lionel messi
92.4,56.2,0,0.4809624254703522,0,True,2022,2022,ligue1,Ligue1,lionel messi
77.5,54.3,0,0.15710581839084625,0,False,2022,2022,ligue1,Ligue1,lionel messi
87.5,53.2,0,0.10566233843564987,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
87.2,57.1,0,0.09449797868728638,nuno mendes,False,2022,2022,ligue1,Ligue1,lionel messi
86.4,51.9,0,0.10213249176740646,0,False,2022,2022,ligue1,Ligue1,lionel messi
88.7,65.7,0,0.10778844356536865,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
79.6,50.6,0,0.10144161432981491,0,False,2022,2022,ligue1,Ligue1,lionel messi
77.5,42.3,0,0.06021169200539589,kylian mbappe,False,2022,2022,ligue1,Ligue1,lionel messi
78.7,31.0,0,0.03051741048693657,achraf hakimi,False,2022,2022,ligue1,Ligue1,lionel messi
76.1,40.5,0,0.0916711837053299,0,False,2022,2022,ligue1,Ligue1,lionel messi
80.8,53.8,0,0.08688205480575562,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
84.2,39.9,0,0.15353870391845703,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
82.0,53.1,0,0.07250717282295227,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
73.4,56.8,0,0.03175271302461624,leandro paredes,False,2022,2022,ligue1,Ligue1,lionel messi
85.9,54.0,1,0.09207683801651001,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
86.6,58.2,0,0.10546625405550003,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
97.7,60.3,0,0.053323980420827866,kylian mbappe,False,2022,2022,ligue1,Ligue1,lionel messi
90.7,71.1,0,0.07771855592727661,0,False,2022,2022,ligue1,Ligue1,lionel messi
88.7,42.4,0,0.08239714056253433,nuno mendes,False,2022,2022,ligue1,Ligue1,lionel messi
84.5,46.6,0,0.10243651270866394,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
77.3,67.6,0,0.09323392063379288,0,False,2022,2022,ligue1,Ligue1,lionel messi
72.6,49.9,0,0.04086541756987572,0,False,2022,2022,ligue1,Ligue1,lionel messi
78.7,48.6,1,0.0772981122136116,0,False,2022,2022,ligue1,Ligue1,lionel messi
78.5,33.1,0,0.037107374519109726,hugo ekitike,False,2022,2022,ligue1,Ligue1,lionel messi
87.2,68.6,0,0.06155460327863693,juan bernat,False,2022,2022,ligue1,Ligue1,lionel messi
